Business Name,Business Address,Google Profile,Day of Week,Special Description,Special Time
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Friday,Burger & Fries $11 ,11AM – 2PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Friday,Golden Fried Cod with Waffle Fries $15,All day
Crooked Pint Ale House,"62 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Friday,$1 Off All Taps,11AM – 6PM
G-Allen’s Restaurant & Sports Bar,"116 Evergreen Dr, Sartell, MN 56377",https://www.google.com/maps?cid=863212231200669648,Friday,Happy Hour: Select appetizers at half price and $1 off all drinks,4PM – 6:30PM
Granite City Food & Brewery,"3945 2nd St S, St Cloud, MN 56301",https://www.google.com/maps?cid=3291221017508555052,Friday,$14.99 Northern Lager-Battered Fish Fry ,1PM – 5PM
Jimmy’s Pour House,"22 2nd Ave N, Sauk Rapids, MN 56379",https://www.google.com/maps?cid=9931203142589866897,Friday,$12 Lunch Specials Soup & Sandwich,11AM – 3PM
La Casita,"4130 W Division St, Waite Park, MN 56387",https://www.google.com/maps?cid=13363612168362794215,Friday,"$1.00 off all large House Margaritas, Complimentary Appetizer Bar ",3PM – 6PM
Sal's Bar,"109 W Minnesota St, St Joseph, MN 56374",https://www.google.com/maps?cid=6627178158394302611,Friday,$14 3-Piece Fish and Fries; $11 Fish Sandwich and Fries,Lunchtime
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Monday,Burger & Fries $11 (add cheese $1),11AM – 2PM
Crooked Pint Ale House,"59 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Monday,Happy Hour: Food & Drink Specials (incl. $2 off select apps),3PM – 6PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Monday,$1 Off All Taps,11AM – 6PM
G-Allen’s Restaurant & Sports Bar,"116 Evergreen Dr, Sartell, MN 56377",https://www.google.com/maps?cid=863212231200669648,Monday,Happy Hour: Select appetizers at half price and $1 off all drinks,4PM – 6:30PM
Granite City Food & Brewery,"3945 2nd St S, St Cloud, MN 56301",https://www.google.com/maps?cid=3291221017508555052,Monday,$6 Build-Your-Own Burger or Chicken Sandwich with fries $10 Pitchers,All day
Jimmy’s Pour House,"22 2nd Ave N, Sauk Rapids, MN 56379",https://www.google.com/maps?cid=9931203142589866897,Monday,$12 Lunch Specials Soup & Sandwich,11AM – 3PM
La Casita,"4130 W Division St, Waite Park, MN 56387",https://www.google.com/maps?cid=13363612168362794215,Monday,"$1.00 off all large House Margaritas, Complimentary Appetizer Bar ",3PM – 6PM
Mexican Village,"509 W St Germain St, St Cloud, MN 56301",https://www.google.com/maps?cid=6413827772583892721,Monday,$4.99 Classic Mega Margaritas; $6.99 Margaronas,All day
Neighbors Bar & Grille,"2010 Co Rd 75, St Joseph, MN 56374",https://www.google.com/maps?cid=11583902400332753822,Monday,Kids Eat Free All day with paid adult and beverage,All day
Sal's Bar,"109 W Minnesota St, St Joseph, MN 56374",https://www.google.com/maps?cid=6627178158394302611,Monday,$3 off all pizzas,Lunchtime
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Saturday,"$3 Cans PBR, High Life, Hamm’s",10AM – 6PM
G-Allen’s Restaurant & Sports Bar,"116 Evergreen Dr, Sartell, MN 56377",https://www.google.com/maps?cid=863212231200669648,Saturday,Two for Ones on drinks,Noon – 5PM
Granite City Food & Brewery,"3945 2nd St S, St Cloud, MN 56301",https://www.google.com/maps?cid=3291221017508555052,Saturday,"1/2 off all starters, $3 pints, $3 cocktails ",1PM – 5PM
Sal's Bar,"109 W Minnesota St, St Joseph, MN 56374",https://www.google.com/maps?cid=6627178158394302611,Saturday,$5 Breakfast Sandwich,11AM – 2PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Sunday,"$3 Cans PBR, High Life, Hamm’s",10AM – 6PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Sunday,$2 off select apps,3PM – 6PM
G-Allen’s Restaurant & Sports Bar,"116 Evergreen Dr, Sartell, MN 56377",https://www.google.com/maps?cid=863212231200669648,Sunday,Two for Ones on drinks,Noon – 5PM
Mexican Village,"509 W St Germain St, St Cloud, MN 56301",https://www.google.com/maps?cid=6413827772583892721,Sunday,"Kids Eat for $2.99 (includes drink, entree, and dessert)",All day
Neighbors Bar & Grille,"2014 Co Rd 75, St Joseph, MN 56374",https://www.google.com/maps?cid=11583902400332753822,Sunday,$2 off burger,After 5PM
Sal's Bar,"109 W Minnesota St, St Joseph, MN 56374",https://www.google.com/maps?cid=6627178158394302611,Sunday,$5 Breakfast Sandwich,11AM – 2PM
Crooked Pint Ale House,"62 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Thursday,$2 off select apps,3PM – 6PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Thursday,Burger & Fries $11 (add cheese $1),11AM – 2PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Thursday,Lucy w/ waffle fries $11,All day
Crooked Pint Ale House,"61 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Thursday,$1 Off All Taps,11AM – 6PM
